                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                0.70133,                 3.2678,                0.97711,                      0,                      0,                      0,                      0,                0.67995,                 2.9543,                0.83449,             0.00030006,             0.00030006,             0.00030006
                      2,                 0.6396,                  2.124,                0.89323,                    0.4,                    0.2,                 0.3195,                0.24008,                0.59011,                 2.1673,                0.82563,             0.00061618,             0.00061618,             0.00061618
                      3,                  0.615,                 2.2952,                 0.8988,                    0.4,                    0.2,                 0.3195,                0.24008,                0.57645,                 2.2847,                0.78975,             0.00093167,             0.00093167,             0.00093167
                      4,                 0.6426,                 1.8848,                0.90122,                    0.8,                  0.325,                0.55067,                0.45697,                0.67288,                 1.4406,                0.84554,              0.0012465,              0.0012465,              0.0012465
                      5,                0.67331,                 1.8399,                0.93057,                0.38238,                0.48836,                0.45817,                0.40215,                0.69664,                 1.6513,                0.86187,              0.0015608,              0.0015608,              0.0015608
                      6,                0.68653,                  1.774,                0.93347,                0.37018,                   0.05,                0.16125,                0.16125,                0.65921,                  2.207,                0.85526,              0.0016587,              0.0016587,              0.0016587
                      7,                0.70004,                 1.7471,                0.94835,                0.44444,                    0.4,                0.43306,                0.31099,                0.89264,                 1.9651,                0.94088,              0.0016571,              0.0016571,              0.0016571
                      8,                0.58823,                 1.7853,                0.90216,                0.84848,                  0.975,                 0.9435,                0.83317,                0.54573,                 1.3016,                0.87272,              0.0016554,              0.0016554,              0.0016554
                      9,                0.62817,                 1.5801,                0.91193,                0.45455,                    0.5,                0.49295,                0.44982,                0.51389,                 2.0034,                0.89091,              0.0016538,              0.0016538,              0.0016538
                     10,                0.63349,                 1.6363,                0.94699,                0.95455,                  0.525,                0.75091,                0.66368,                0.47151,                 1.6441,                0.87297,              0.0016521,              0.0016521,              0.0016521
                     11,                0.63495,                 1.4163,                0.91571,                0.86364,                    0.7,                0.80614,                0.73553,                0.51436,                 1.3211,                0.87806,              0.0016505,              0.0016505,              0.0016505
                     12,                 0.6297,                 1.6864,                0.93289,                    0.5,                    0.3,                    0.4,                0.31558,                0.57085,                 1.8568,                0.88889,              0.0016488,              0.0016488,              0.0016488
